tempo_s,custo,bound,gap_pct
2336.0,846.9982663,819.81743,3.2090781506243102
2342.0,846.9982663,819.82874,3.2077428468285305
2346.0,846.9982663,819.83579,3.206910495656109
2353.0,846.9982663,819.84351,3.2059990416062933
2359.0,846.9982663,819.84626,3.2056743656170488
2363.0,846.9982663,819.85298,3.2048809755633325
2367.0,846.9982663,819.86066,3.2039742440733616
2374.0,846.9982663,819.8641,3.2035681039268202
2381.0,846.9982663,819.86542,3.2034122594519867
2389.0,846.9982663,819.87576,3.2021914777324194
2394.0,846.9982663,819.88047,3.2016353963108473
2398.0,846.9982663,819.88509,3.20108994064891
2401.0,846.9982663,819.89087,3.200407530751519
2406.0,846.9982663,819.89183,3.2002941893152643
2410.0,846.9982663,819.89699,3.1996849790954522
2415.0,846.9982663,819.90406,3.1988502666431016
2423.0,846.9982663,819.9129,3.197806580917664
2428.0,846.9982663,819.91678,3.19734849261284
2431.0,846.9982663,819.92396,3.1965007931209257
2435.0,846.9982663,819.92884,3.195924640820002
2441.0,846.9982663,819.94199,3.1943720992714297
2448.0,846.9982663,819.9523,3.1931548594717496
2452.0,846.9982663,819.96107,3.1921194382260576
2457.0,846.9982663,819.96107,3.1921194382260576
2460.0,846.9982663,819.97373,3.1906247480355567
2467.0,846.9982663,819.97804,3.190115892212422
2471.0,846.9982663,819.9796,3.189931712378518
2476.0,846.9982663,819.98446,3.189357921357524
2481.0,846.9982663,819.9932,3.1883260420317057
2485.0,846.9982663,819.99862,3.187686135172907
2491.0,846.9982663,820.00417,3.187030879994602
2495.0,846.9982663,820.00728,3.1866637009667653
2500.0,846.9982663,820.01557,3.1856849504391875
2507.0,846.9982663,820.02747,3.1842799888857294
2513.0,846.9982663,820.03574,3.183303599638067
2517.0,846.9982663,820.0439,3.1823401974299825
2522.0,846.9982663,820.04616,3.1820733727988233
2525.0,846.9982663,820.0497,3.1816554262526626
2532.0,846.9982663,820.05819,3.1806530629258725
2535.0,846.9982663,820.06042,3.180389780214587
2542.0,846.9982663,820.07152,3.179079269858004
2546.0,846.9982663,820.07368,3.178824251626451
2552.0,846.9982663,820.08466,3.1775279089493895
2558.0,846.9982663,820.08826,3.1771028785634674
2562.0,846.9982663,820.09448,3.1763685205077947
2565.0,846.9982663,820.09918,3.175813619726167
2571.0,846.9982663,820.10805,3.1747663920808558
2575.0,846.9982663,820.11605,3.173821880112151
2582.0,846.9982663,820.12442,3.172833684464883
2586.0,846.9982663,820.12772,3.1724440732777923
2593.0,846.9982663,820.13973,3.171026124684757
2595.0,846.9982663,820.14398,3.17052435270137
2601.0,846.9982663,820.15132,3.169657762970075
2606.0,846.9982663,820.1558,3.1691288362676024
2611.0,846.9982663,820.16226,3.1683661428528724
2615.0,846.9982663,820.16694,3.167813603351174
2623.0,846.9982663,820.17381,3.1670025036980354
2630.0,846.9982663,820.1791,3.16637794515873
2636.0,846.9982663,820.18954,3.165145357039557
2640.0,846.9982663,820.19153,3.1649104096873417
2645.0,846.9982663,820.19305,3.164730952413283
2651.0,846.9982663,820.20516,3.163301197420642
2655.0,846.9982663,820.20821,3.1629411022325664
2662.0,846.9982663,820.21851,3.161725043072844
2665.0,846.9982663,820.2205,3.1614900957206293
2672.0,846.9982663,820.23028,3.1603354298388795
2677.0,846.9982663,820.23426,3.1598655351344496
2682.0,846.9982663,820.23756,3.1594759239473458
2685.0,846.9982663,820.24148,3.159013113082677
2690.0,846.9982663,820.24607,3.1584711993406267
